192.168.2.100   hemmingway
192.168.2.101   auster
192.168.2.102   doyle
192.168.2.103   capote
192.168.2.104   faulkner
192.168.2.105   salinger
192.168.2.106   steinbeck
192.168.2.107   twain
192.168.2.108   fitzgerald
192.168.2.109   bradbury
192.168.2.110   frost
192.168.2.111   whitman
192.168.2.112   baldwin
192.168.2.113   irving
192.168.2.114   melville
192.168.2.115   hawthorne
192.168.2.116   updike
192.168.2.117   miller
192.168.2.118   eliot
192.168.2.119   dickinson
192.168.2.120   miller
192.168.2.121   bukowski
192.168.2.122   pynchon
192.168.2.123   heller
